Beijing	北京
Shanghai	上海
Tianjin	天津
Hong Kong	香港特别行政区
Macau	澳门特别行政区
Anqing	安庆
Bengbu	蚌埠
Bozhou	亳州
Chaohu	巢湖
Chizhou	池州
Chuzhou	滁州
Fuyang	阜阳
Hefei	合肥
Huaibei	淮北
Huainan	淮南
Huangshan	黄山
Jieshou	界首
Lu'an	六安
Ma'anshan	马鞍山
Mingguang	明光
Ningguo	宁国
Suzhou	宿州
Tianchang	天长
Tongcheng	桐城
Tongling	铜陵
Wuhu	芜湖
Xuancheng	宣城
Changle	长乐
Fu'an	福安
Fuding	福鼎
Fuqing	福清
Fuzhou	福州
Jian'ou	建瓯
Jinjiang	晋江
Longhai	龙海
Longyan	龙岩
Nan'an	南安
Nanping	南平
Ningde	宁德
Putian	莆田
Quanzhou	泉州
Sanming	三明
Shaowu	邵武
Shishi	石狮
Wuyishan	武夷山
Xiamen	厦门
Yong'an	永安
Zhangzhou	漳州
Zhangping	漳平
Baiyin	白银
Dingxi	定西
Dunhuang	敦煌
Hezuo	合作
Jiayuguan	嘉峪关
Jinchang	金昌
Jiuquan	酒泉
Lanzhou	兰州
Linxia	临夏
Longnan	陇南
Pingliang	平凉
Qingyang	庆阳
Tianshui	天水
Wuwei	武威
Yumen	玉门
Zhangye	张掖
Chaozhou	潮州
Dongguan	东莞
Enping	恩平
Foshan	佛山
Gaoyao	高要
Gaozhou	高州
Guangzhou	广州
Heshan	鹤山
Heyuan	河源
Huazhou	化州
Huizhou	惠州
Jiangmen	江门
Jieyang	揭阳
Kaiping	开平
Lechang	乐昌
Leizhou	雷州
Lianjiang	廉江
Lianzhou	连州
Lufeng	陆丰
Luoding	罗定
Maoming	茂名
Meizhou	梅州
Nanxiong	南雄
Puning	普宁
Qingyuan	清远
Shantou	汕头
Shanwei	汕尾
Shaoguan	韶关
Shenzhen	深圳
Sihui	四会
Taishan	台山
Wuchuan	吴川
Xingning	兴宁
Xinyi	信宜
Yangchun	阳春
Yangjiang	阳江
Yingde	英德
Yunfu	云浮
Zhanjiang	湛江
Zhaoqing	肇庆
Zhongshan	中山
Zhuhai	珠海
